,name,accuracy,effect_chance,pp,priority,power,damage_class,effect_text,target,type
22,stomp,100,30,20,0,65,physical,"Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.

Power is doubled against Pokémon that have used minimize since entering the field.",selected-pokemon,normal
23,double-kick,100,NaN,30,0,30,physical,Inflicts regular damage.  Hits twice in one turn.,selected-pokemon,fighting
24,mega-kick,75,NaN,5,0,120,physical,Inflicts regular damage.,selected-pokemon,normal
25,jump-kick,95,NaN,10,0,100,physical,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.

This move cannot be used while gravity is in effect.",selected-pokemon,fighting
26,rolling-kick,85,30,15,0,60,physical,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,selected-pokemon,fighting
27,sand-attack,100,NaN,15,0,,status,Lowers the target's accuracy by one stage.,selected-pokemon,ground
28,headbutt,100,30,15,0,70,physical,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,selected-pokemon,normal
29,horn-attack,100,NaN,25,0,65,physical,Inflicts regular damage.,selected-pokemon,normal
30,fury-attack,85,NaN,20,0,15,physical,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",selected-pokemon,normal
31,horn-drill,30,NaN,5,0,,physical,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",selected-pokemon,normal
32,tackle,100,NaN,35,0,40,physical,Inflicts regular damage.,selected-pokemon,normal
33,body-slam,100,30,15,0,85,physical,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,selected-pokemon,normal
34,wrap,90,100,20,0,15,physical,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",selected-pokemon,normal
35,take-down,85,NaN,20,0,90,physical,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,selected-pokemon,normal
36,thrash,100,NaN,10,0,120,physical,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.",random-opponent,normal
37,double-edge,100,NaN,15,0,120,physical,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,selected-pokemon,normal
38,tail-whip,100,NaN,30,0,,status,Lowers the target's Defense by one stage.,all-opponents,normal
39,poison-sting,100,30,35,0,15,physical,Inflicts regular damage.  Has a $effect_chance% chance to poison the target.,selected-pokemon,poison
40,twineedle,100,20,20,0,25,physical,Inflicts regular damage.  Hits twice in the same turn.  Has a $effect_chance% chance to poison the target.,selected-pokemon,bug
41,pin-missile,95,NaN,20,0,25,physical,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",selected-pokemon,bug
42,leer,100,100,30,0,,status,Lowers the target's Defense by one stage.,all-opponents,normal
43,bite,100,30,25,0,60,physical,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,selected-pokemon,dark
44,growl,100,NaN,40,0,,status,Lowers the target's Attack by one stage.,all-opponents,normal
45,roar,,NaN,20,-6,,status,"Switches the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.

Doesn't affect Pokémon with suction cups or under the effect of ingrain.",selected-pokemon,normal
46,sing,55,NaN,15,0,,status,Puts the target to sleep.,selected-pokemon,normal
47,supersonic,55,NaN,20,0,,status,Confuses the target.,selected-pokemon,normal
48,sonic-boom,90,NaN,20,0,,special,Inflicts exactly 20 damage.,selected-pokemon,normal
49,disable,100,NaN,20,0,,status,"Disables the target's last used move, preventing its use for 4–7 turns, selected at random, or until the target leaves the field.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed,  if its last used move has 0 PP remaining, or if it already has a move disabled, this move will fail.",selected-pokemon,normal
50,acid,100,10,30,0,40,special,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Defense by one stage.,all-opponents,poison
51,ember,100,10,25,0,40,special,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,selected-pokemon,fire
52,flamethrower,100,10,15,0,90,special,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,selected-pokemon,fire
53,mist,,NaN,30,0,,status,"Pokémon on the user's side of the field are immune to stat-lowering effects for five turns.

guard swap, heart swap, and power swap may still be used.

defog used by an opponent will end this effect.",users-field,ice
54,water-gun,100,NaN,25,0,40,special,Inflicts regular damage.,selected-pokemon,water
55,hydro-pump,80,NaN,5,0,110,special,Inflicts regular damage.,selected-pokemon,water
56,surf,100,NaN,15,0,90,special,"Inflicts regular damage.

If the target is in the first turn of dive, this move will hit with double power.",all-other-pokemon,water
57,ice-beam,100,10,10,0,90,special,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,selected-pokemon,ice
58,blizzard,70,10,5,0,110,special,"Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.

During hail, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.",all-opponents,ice
59,psybeam,100,10,20,0,65,special,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.,selected-pokemon,psychic
60,bubble-beam,100,10,20,0,65,special,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Speed by one stage.,selected-pokemon,water
61,aurora-beam,100,10,20,0,65,special,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Attack by one stage.,selected-pokemon,ice
62,hyper-beam,90,NaN,5,0,150,special,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",selected-pokemon,normal
63,peck,100,NaN,35,0,35,physical,Inflicts regular damage.,selected-pokemon,flying
64,drill-peck,100,NaN,20,0,80,physical,Inflicts regular damage.,selected-pokemon,flying
65,submission,80,NaN,20,0,80,physical,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,selected-pokemon,fighting
66,low-kick,100,NaN,20,0,,physical,"Inflicts regular damage.  Power increases with the target's weight in kilograms, to a maximum of 120.

Target's weight | Power
--------------- | ----:
Up to 10kg      |    20
Up to 25kg      |    40
Up to 50kg      |    60
Up to 100kg     |    80
Up to 200kg     |   100
Above 200kg     |   120
",selected-pokemon,fighting
67,counter,100,NaN,20,-5,,physical,"Targets the last opposing Pokémon to hit the user with a physical move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror move, nor selected by assist or metronome.",specific-move,fighting
68,seismic-toss,100,NaN,20,0,,physical,"Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored.",selected-pokemon,fighting
69,strength,100,NaN,15,0,80,physical,Inflicts regular damage.,selected-pokemon,normal
70,absorb,100,NaN,25,0,20,special,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,selected-pokemon,grass
71,mega-drain,100,NaN,15,0,40,special,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,selected-pokemon,grass
72,leech-seed,90,NaN,10,0,,status,"Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken.  Has no effect on grass Pokémon.  The seed remains until the target leaves the field.

The user takes damage instead of being healed if the target has liquid ooze.

rapid spin will remove this effect.

This effect is passed on by baton pass.",selected-pokemon,grass
73,growth,,NaN,20,0,,status,"Raises the user's Attack and Special Attack by one stage each.  During sunny day, raises both stats by two stages.",user,normal
74,razor-leaf,95,NaN,25,0,55,physical,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,all-opponents,grass
75,solar-beam,100,NaN,10,0,120,special,"Inflicts regular damage.  User charges for one turn before attacking.

During sunny day, the charge turn is skipped.

During hail, rain dance, or sandstorm, power is halved.

This move cannot be selected by sleep talk.",selected-pokemon,grass
76,poison-powder,75,NaN,35,0,,status,Poisons the target.,selected-pokemon,poison
77,stun-spore,75,NaN,30,0,,status,Paralyzes the target.,selected-pokemon,grass
78,sleep-powder,75,NaN,15,0,,status,Puts the target to sleep.,selected-pokemon,grass
79,petal-dance,100,NaN,10,0,120,special,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.",random-opponent,grass
80,string-shot,95,NaN,40,0,,status,Lowers the target's Speed by two stages.,all-opponents,bug
81,dragon-rage,100,NaN,10,0,,special,Inflicts exactly 40 damage.,selected-pokemon,dragon
82,fire-spin,85,100,15,0,35,special,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",selected-pokemon,fire
83,thunder-shock,100,10,30,0,40,special,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,selected-pokemon,electric
84,thunderbolt,100,10,15,0,90,special,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,selected-pokemon,electric
85,thunder-wave,90,NaN,20,0,,status,Paralyzes the target.,selected-pokemon,electric
86,thunder,70,30,10,0,110,special,"Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.

During rain dance, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.

During sunny day, this move has 50% accuracy.",selected-pokemon,electric
87,rock-throw,90,NaN,15,0,50,physical,Inflicts regular damage.,selected-pokemon,rock
88,earthquake,100,NaN,10,0,100,physical,"Inflicts regular damage.

If the target is in the first turn of dig, this move will hit with double power.",all-other-pokemon,ground
89,fissure,30,NaN,5,0,,physical,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",selected-pokemon,ground
90,dig,100,NaN,10,0,80,physical,"Inflicts regular damage.  User digs underground for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, earthquake, fissure, and magnitude still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be selected by sleep talk.",selected-pokemon,ground
91,toxic,90,NaN,10,0,,status,Badly poisons the target.  Never misses when used by a poison-type Pokémon.,selected-pokemon,poison
92,confusion,100,10,25,0,50,special,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.,selected-pokemon,psychic
93,psychic,100,10,10,0,90,special,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Defense by one stage.,selected-pokemon,psychic
94,hypnosis,60,NaN,20,0,,status,Puts the target to sleep.,selected-pokemon,psychic
95,meditate,,NaN,40,0,,status,Raises the user's Attack by one stage.,user,psychic
96,agility,,NaN,30,0,,status,Raises the user's Speed by two stages.,user,psychic
97,quick-attack,100,NaN,30,1,40,physical,Inflicts regular damage.,selected-pokemon,normal
98,rage,100,NaN,20,0,20,physical,"Inflicts regular damage.  Every time the user is hit after it uses this move but before its next action, its Attack raises by one stage.",selected-pokemon,normal
99,teleport,,NaN,20,-6,,status,Does nothing.  Wild battles end immediately.,user,psychic
100,night-shade,100,NaN,15,0,,special,"Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored.",selected-pokemon,ghost
101,mimic,,NaN,10,0,,status,"This move is replaced by the target's last successfully used move, and its PP changes to 5.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if the user already knows the targeted move, this move will fail.  This effect vanishes when the user leaves the field.

If chatter, metronome, mimic, sketch, or struggle is selected, this move will fail.

This move cannot be copied by mirror move, nor selected by assist or metronome, nor forced by encore.",selected-pokemon,normal
102,screech,85,NaN,40,0,,status,Lowers the target's Defense by two stages.,selected-pokemon,normal
103,double-team,,NaN,15,0,,status,Raises the user's evasion by one stage.,user,normal
104,recover,,NaN,10,0,,status,Heals the user for half its max HP.,user,normal
105,harden,,NaN,30,0,,status,Raises the user's Defense by one stage.,user,normal
106,minimize,,NaN,10,0,,status,"Raises the user's evasion by two stages.

stomp and steamroller have double power against Pokémon that have used this move since entering the field.",user,normal
107,smokescreen,100,NaN,20,0,,status,Lowers the target's accuracy by one stage.,selected-pokemon,normal
108,confuse-ray,100,NaN,10,0,,status,Confuses the target.,selected-pokemon,ghost
109,withdraw,,NaN,40,0,,status,Raises the user's Defense by one stage.,user,water
110,defense-curl,,NaN,40,0,,status,"Raises user's Defense by one stage.

After this move is used, the power of ice ball and rollout are doubled until the user leaves the field.",user,normal
111,barrier,,NaN,20,0,,status,Raises the user's Defense by two stages.,user,psychic
112,light-screen,,NaN,30,0,,status,"Erects a barrier around the user's side of the field that reduces damage from special attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.

If the user is holding light clay, the barrier lasts for eight turns.

brick break or defog used by an opponent will destroy the barrier.",users-field,psychic
113,haze,,NaN,30,0,,status,"Removes stat, accuracy, and evasion modifiers from every Pokémon on the field.

This does not count as a stat reduction for the purposes of clear body or white smoke.",entire-field,ice
114,reflect,,NaN,20,0,,status,"Erects a barrier around the user's side of the field that reduces damage from physical attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.

If the user is holding light clay, the barrier lasts for eight turns.

brick break or defog used by an opponent will destroy the barrier.",users-field,psychic
115,focus-energy,,NaN,30,0,,status,"User's critical hit rate is two levels higher until it leaves the field.  If the user has already used focus energy since entering the field, this move will fail.

This effect is passed on by baton pass.",user,normal
116,bide,,NaN,10,1,,physical,"User waits for two turns.  On the second turn, the user inflicts twice the damage it accumulated on the last Pokémon to hit it.  Damage inflicted is typeless.

This move cannot be selected by sleep talk.",user,normal
117,metronome,,NaN,10,0,,status,"Selects any move at random and uses it.  Moves the user already knows are not eligible.  Assist, meta, protection, and reflection moves are also not eligible; specifically, assist, chatter, copycat, counter, covet, destiny bond, detect, endure, feint, focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, protect, quick guard, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, and wide guard will not be selected by this move.

This move cannot be copied by mimic or mirror move, nor selected by assist, metronome, or sleep talk.",user,normal
118,mirror-move,,NaN,20,0,,status,"Uses the last move targeted at the user by a Pokémon still on the field.  A move counts as targeting the user even if it hit multiple Pokémon, as long as the user was one of them; however, moves targeting the field itself do not count.  If the user has not been targeted by an appropriate move since entering the field, or if no Pokémon that targeted the user remains on the field, this move will fail.

Moves that failed, missed, had no effect, or were blocked are still copied.

Assist moves, time-delayed moves, “meta” moves that operate on other moves/Pokémon/abilities, and some other special moves cannot be copied and are ignored; if the last move to hit the user was such a move, the previous move will be used instead.  The full list of ignored moves is: acid armor, acupressure, after you, agility, ally switch, amnesia, aqua ring, aromatherapy, aromatic mist, assist, autotomize, barrier, baton pass, belch, belly drum, bide, bulk up, calm mind, camouflage, celebrate, charge, coil, conversion, conversion 2, copycat, cosmic power, cotton guard, counter, crafty shield, curse, defend order, defense curl, destiny bond, detect, doom desire, double team, dragon dance, electric terrain, endure, final gambit, flower shield, focus energy, focus punch, follow me, future sight, geomancy, grassy terrain, gravity, growth, grudge, guard split, hail, happy hour, harden, haze, heal bell, heal order, heal pulse, healing wish, helping hand, hold hands, hone claws, howl, imprison, ingrain, ion deluge, iron defense, kings shield, light screen, lucky chant, lunar dance, magic coat, magnet rise, magnetic flux, mat block, me first, meditate, metronome, milk drink, mimic, minimize, mirror coat, mirror move, mist, misty terrain, moonlight, morning sun, mud sport, nasty plot, nature power, perish song, power split, power trick, protect, psych up, quick guard, quiver dance, rage powder, rain dance, recover, recycle, reflect, reflect type, refresh, rest, rock polish, role play, roost, rototiller, safeguard, sandstorm, shadow blast, shadow bolt, shadow half, shadow rush, shadow shed, shadow sky, shadow storm, shadow wave, sharpen, shell smash, shift gear, sketch, slack off, sleep talk, snatch, soft boiled, spikes, spiky shield, spit up, splash, stealth rock, sticky web, stockpile, struggle, substitute, sunny day, swallow, swords dance, synthesis, tail glow, tailwind, teleport, toxic spikes, transform, water sport, wide guard, wish, withdraw and work up.

This move cannot be selected by assist, metronome, or sleep talk, nor forced by encore.",selected-pokemon,flying
119,self-destruct,100,NaN,5,0,200,physical,"User faints, even if the attack fails or misses.  Inflicts regular damage.",all-other-pokemon,normal
120,egg-bomb,75,NaN,10,0,100,physical,Inflicts regular damage.,selected-pokemon,normal
121,lick,100,30,30,0,30,physical,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,selected-pokemon,ghost
122,smog,70,40,20,0,30,special,Inflicts regular damage.  Has a $effect_chance% chance to poison the target.,selected-pokemon,poison
123,sludge,100,30,20,0,65,special,Inflicts regular damage.  Has a $effect_chance% chance to poison the target.,selected-pokemon,poison
124,bone-club,85,10,20,0,65,physical,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,selected-pokemon,ground
125,fire-blast,85,10,5,0,110,special,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,selected-pokemon,fire
126,waterfall,100,20,15,0,80,physical,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,selected-pokemon,water
127,clamp,85,100,15,0,35,physical,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",selected-pokemon,water
128,swift,,NaN,20,0,60,special,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,all-opponents,normal
129,skull-bash,100,100,10,0,130,physical,"Inflicts regular damage.  Raises the user's Defense by one stage.  User then charges for one turn before attacking.

This move cannot be selected by sleep talk.",selected-pokemon,normal
130,spike-cannon,100,NaN,15,0,20,physical,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",selected-pokemon,normal
131,constrict,100,10,35,0,10,physical,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Speed by one stage.,selected-pokemon,normal
132,amnesia,,NaN,20,0,,status,Raises the user's Special Defense by two stages.,user,psychic
133,kinesis,80,NaN,15,0,,status,Lowers the target's accuracy by one stage.,selected-pokemon,psychic
134,soft-boiled,,NaN,10,0,,status,Heals the user for half its max HP.,user,normal
135,high-jump-kick,90,NaN,10,0,130,physical,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.

This move cannot be used while gravity is in effect.",selected-pokemon,fighting
136,glare,100,NaN,30,0,,status,Paralyzes the target.,selected-pokemon,normal
137,dream-eater,100,NaN,15,0,100,special,Fails if not used on a sleeping Pokémon.  Inflicts regular damage.  Drains half the damage inflicted to heal the user.,selected-pokemon,psychic
138,poison-gas,90,NaN,40,0,,status,Poisons the target.,all-opponents,poison
139,barrage,85,NaN,20,0,15,physical,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",selected-pokemon,normal
140,leech-life,100,NaN,10,0,80,physical,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,selected-pokemon,bug
141,lovely-kiss,75,NaN,10,0,,status,Puts the target to sleep.,selected-pokemon,normal
142,sky-attack,90,30,5,0,140,physical,"Inflicts regular damage.  User charges for one turn before attacking.  Critical hit chance is one level higher than normal.  Has a $effect_chance% chance to make the target flinch.

This move cannot be selected by sleep talk.",selected-pokemon,flying
143,transform,,NaN,10,0,,status,"User copies the target's species, weight, type, ability, calculated stats (except HP), and moves.  Copied moves will all have 5 PP remaining.  IVs are copied for the purposes of hidden power, but stats are not recalculated.

choice band, choice scarf, and choice specs stay in effect, and the user must select a new move.

This move cannot be copied by mirror move, nor forced by encore.",selected-pokemon,normal
144,bubble,100,10,30,0,40,special,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Speed by one stage.,all-opponents,water
145,dizzy-punch,100,20,10,0,70,physical,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.,selected-pokemon,normal
146,spore,100,NaN,15,0,,status,Puts the target to sleep.,selected-pokemon,grass
147,flash,100,NaN,20,0,,status,Lowers the target's accuracy by one stage.,selected-pokemon,normal
148,psywave,100,NaN,15,0,,special,"Inflicts typeless damage between 50% and 150% of the user's level, selected at random in increments of 10%.",selected-pokemon,psychic
149,splash,,NaN,40,0,,status,"Does nothing.

This move cannot be used while gravity is in effect.",user,normal
150,acid-armor,,NaN,20,0,,status,Raises the user's Defense by two stages.,user,poison
151,crabhammer,90,NaN,10,0,100,physical,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,selected-pokemon,water
152,explosion,100,NaN,5,0,250,physical,"User faints, even if the attack fails or misses.  Inflicts regular damage.",all-other-pokemon,normal
153,fury-swipes,80,NaN,15,0,18,physical,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",selected-pokemon,normal
154,bonemerang,90,NaN,10,0,50,physical,Inflicts regular damage.  Hits twice in one turn.,selected-pokemon,ground
155,rest,,NaN,10,0,,status,"User falls to sleep and immediately regains all its HP.  If the user has another major status effect, sleep will replace it.  The user will always wake up after two turns, or one turn with early bird.

This move fails if the Pokémon cannot fall asleep due to uproar, insomnia, or vital spirit.  It also fails if the Pokémon is at full health or is already asleep.",user,psychic
156,rock-slide,90,30,10,0,75,physical,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,all-opponents,rock
157,hyper-fang,90,10,15,0,80,physical,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,selected-pokemon,normal
158,sharpen,,NaN,30,0,,status,Raises the user's Attack by one stage.,user,normal
159,conversion,,NaN,30,0,,status,"User's type changes to the type of one of its moves, selected at random.  hidden power and weather ball are treated as normal.  Only moves with a different type are eligible, and curse is never eligible.  If the user has no suitable moves, this move will fail.",user,normal
160,tri-attack,100,20,10,0,80,special,"Inflicts regular damage.  Has a $effect_chance% chance to burn, freeze, or paralyze the target.  One of these effects is selected at random; they do not each have independent chances to occur.",selected-pokemon,normal
161,super-fang,90,NaN,10,0,,physical,Inflicts typeless damage equal to half the target's remaining HP.,selected-pokemon,normal
162,slash,100,NaN,20,0,70,physical,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,selected-pokemon,normal
